service_id,date,exception_type
31394,20250501,2
31394,20250504,2
31394,20250623,2
31394,20250624,2
31394,20251118,2
31394,20251224,2
31394,20251225,2
31394,20251226,2
31394,20251231,2
31383,20260101,2
31383,20250501,2
31383,20250504,2
31383,20250623,2
31383,20250624,2
31383,20251118,2
31383,20251224,2
31383,20251225,2
31383,20251226,2
31383,20251231,2
31376,20260101,1
31376,20250501,1
31376,20250504,1
31376,20250623,1
31376,20250624,1
31376,20251118,1
31376,20251224,1
31376,20251225,1
31376,20251226,1
31376,20251231,1
31309,20260101,2
31309,20250501,2
31309,20250504,2
31309,20250623,2
31309,20250624,2
31309,20251118,2
31309,20251224,2
31309,20251225,2
31309,20251226,2
31309,20251231,2
29562,20260101,1
29562,20250501,1
29562,20250504,1
29562,20250623,1
29562,20250624,1
29562,20251118,1
29562,20251224,1
29562,20251225,1
29562,20251226,1
29562,20251231,1
29865,20260101,1
29865,20250501,1
29865,20250504,1
29865,20250623,1
29865,20250624,1
29865,20251118,1
29865,20251224,1
29865,20251225,1
29865,20251226,1
29865,20251231,1
29866,20260101,1
29866,20250501,1
29866,20250504,1
29866,20250623,1
29866,20250624,1
29866,20251118,1
29866,20251224,1
29866,20251225,1
29866,20251226,1
29866,20251231,1
29864,20260101,1
29864,20250501,1
29864,20250504,1
29864,20250623,1
29864,20250624,1
29864,20251118,1
29864,20251224,1
29864,20251225,1
29864,20251226,1
29864,20251231,1
29840,20260101,2
29840,20250501,2
29840,20250504,2
29840,20250623,2
29840,20250624,2
29840,20251118,2
29840,20251224,2
29840,20251225,2
29840,20251226,2
29840,20251231,2
29841,20260101,2
29841,20250501,2
29841,20250504,2
29841,20250623,2
29841,20250624,2
29841,20251118,2
29841,20251224,2
29841,20251225,2
29841,20251226,2
29841,20251231,2
31164,20260101,2
31164,20250501,2
31164,20250504,2
31164,20250623,2
31164,20250624,2
31164,20251118,2
31164,20251224,2
31164,20251225,2
31164,20251226,2
31164,20251231,2
29560,20260101,1
29560,20250501,1
29560,20250504,1
29560,20250623,1
29560,20250624,1
29560,20251118,1
29560,20251224,1
29560,20251225,1
29560,20251226,1
29560,20251231,1
31475,20260101,2
31475,20250501,2
31475,20250504,2
31475,20250623,2
31475,20250624,2
31475,20251118,2
31475,20251224,2
31475,20251225,2
31475,20251226,2
31475,20251231,2
31476,20260101,1
31476,20250501,1
31476,20250504,1
31476,20250623,1
31476,20250624,1
31476,20251118,1
31476,20251224,1
31476,20251225,1
31476,20251226,1
31476,20251231,1
30936,20260101,1
30936,20250501,1
30936,20250504,1
30936,20250623,1
30936,20250624,1
30936,20251118,1
30936,20251224,1
30936,20251225,1
30936,20251226,1
30936,20251231,1
30937,20260101,1
30937,20250501,1
30937,20250504,1
30937,20250623,1
30937,20250624,1
30937,20251118,1
30937,20251224,1
30937,20251225,1
30937,20251226,1
30937,20251231,1
30983,20260101,2
30983,20250501,2
30983,20250504,2
30983,20250623,2
30983,20250624,2
30983,20251118,2
30983,20251224,2
30983,20251225,2
30983,20251226,2
30983,20251231,2
31456,20260101,1
31456,20250501,1
31456,20250504,1
31456,20250623,1
31456,20250624,1
31456,20251118,1
31456,20251224,1
31456,20251225,1
31456,20251226,1
31456,20251231,1
31454,20260101,2
31454,20250501,2
31454,20250504,2
31454,20250623,2
31454,20250624,2
31454,20251118,2
31454,20251224,2
31454,20251225,2
31454,20251226,2
31454,20251231,2
31455,20260101,2
31455,20250501,2
31455,20250504,2
31455,20250623,2
31455,20250624,2
31455,20251118,2
31455,20251224,2
31455,20251225,2
31455,20251226,2
31455,20251231,2
